Field Name,Extracted Value,Status
Tag Name,MP- PP031-M 600173A/ B,FOUND
Serial Number,9975714953-100,FOUND
Datasheet No,N23P01-D11NPP-MPP 001-TPD-P-04-031-D02-008,FOUND
Parent tag name,MP-PP031-M600173A/B,FOUND
Manufacture,TEFC IC411F (Temp. rise limited to class ‘B’)CG Power and Industrial Solutions Limited,FOUND
Frame Size,- ND280S,FOUND
Model Number,- 3 PHASE AC SQUIRREL CAGE INDUCTION MOTOR IE2,FOUND
Rated Output Power,75,FOUND
Service Factor,1,FOUND
Rated Speed,2972,FOUND
Insulation Class,F (Temp. rise limited to class ‘B’),FOUND
Temperature Rise,77,FOUND
Rated Voltage,415,FOUND
Number of Electrical Phases,3,FOUND
Rated Frequency,50,FOUND
Rated Amp,124.00,FOUND
Starting Current,700,FOUND
Efficiency,93.8,FOUND
Rated Power Factor (Lagging),0.9,FOUND
Starting Torque,250,FOUND
Pull-Out Torque,300,FOUND
Minimum Accelerating Torque (Motor & Load) @ 80%Volts,158.4,FOUND
Rotor End float,1,FOUND
Number of Starts Per Hour,:- 2/3 (Considering load GD²=Motor GD²),FOUND
Transportation Weight,600,FOUND
Ingress Protection,IP55,FOUND
Electric Motor Cooling Method,TEFC,FOUND
Explosion Protection Concept,:- IP55 (NOTE 2.) Differential CT's:,FOUND
Explosion Protection Temperature Class,:- NA Thermocouples Req.: Yes No,FOUND
Gas Group,:- NA No.,FOUND
Bearing Type DE,"SKF/FAG 6314-C4 grease qty, 70 gram",FOUND
Bearing Type NDE,"SK F/FAG 6314-C4  grease interval, 2500 Hrs",FOUND
Heating Time Constant,60,FOUND
Cooling Time Constant,,NOT FOUND
Cable Entry,M63X1.5P,FOUND
Winding Connection,Star,FOUND
Starting Method,DOL,FOUND
Shaft Orientation,Horizontal,FOUND
Mounting Arrangement,B3,FOUND
Direction of Rotation,Bidirectional,FOUND
Duty,:- S1,FOUND
Driver Enclosure,IP55,FOUND
Exciter Output Current,,NOT FOUND
Exciter Output Voltage,,NOT FOUND
Excitor Amp,,NOT FOUND
Excitor Voltage,,NOT FOUND
Application ,Pump Motor Datasheet for Recycled water pump (10kg/cm2g) Tag No. MP-PP031-M600173A/BMP-PP031-M700173A/B,FOUND
Bearing RTD Required Per Winding,,NOT FOUND
DE Bearing,"SKF/FAG 6314-C4 grease qty, 70 gram",FOUND
DOR,to,FOUND
Explosion Protection Examination Certificate Number,Not ApplicableMT-N23P01-D11NPP-MPP001-TPD-Q-04MP-PP031-M600173A/B,FOUND
Explosion Protection Notified Body,Not Applicable,FOUND
Instrumentation Cable,"2CX2.5Sq,mm",FOUND
Locked Rotor Withstand Time (100% Volts) Hot & Cold UOM,secs,FOUND
Locked Rotor Withstand Time (80% Volts) Hot & Cold UOM,secs,FOUND
MTB Position,Cable,FOUND
Magnetizing Reactance @ 20°C,,NOT FOUND
Magnetizing Resistance @ 20°C,,NOT FOUND
Minimum Accelerating Torque (Motor & Load) @ 80%Volts UOM,% FLT,FOUND
Motor Greasing Details – Name of Grease ,UNIREX-N3,FOUND
Motor Type,,NOT FOUND
NDE Bearing,"SK F/FAG 6314-C4  grease interval, 2500 Hrs",FOUND
Plant Code,,NOT FOUND
Plant Name,1000 KTA POLYVINYL CHLORIDE (PVC),FOUND
Power Factor (Starting),0.42,FOUND
Pull-Out Torque UOM,% FLT,FOUND
Purchase Order Date,04/05/2025,FOUND
RTD Required Per Winding,,NOT FOUND
Rated Amp UOM,Amps,FOUND
Rated Frequency UOM,Hz,FOUND
Rated Output Power UOM,kW,FOUND
Rated Speed UOM,rpm,FOUND
Rated Voltage UOM,,NOT FOUND
Rotor Reactance @ 20°C UOM,,NOT FOUND
Rotor Resistance (Ac) @ 20°C UOM,,NOT FOUND
Run-Up Time (Motor & Load) (100% Volts) Hot & Cold UOM,secs,FOUND
Run-Up Time (Motor & Load) (80% Volts) Hot & Cold UOM,,NOT FOUND
Site Code,Revise,FOUND
Site Name,EQUIPMENT NO.:,FOUND
Size Control Cable,2,FOUND
Space Heater,60 Watts X 2 Nos.,FOUND
Starting Current UOM,% FLC,FOUND
Starting Torque UOM,% FLT,FOUND
Stator Leakage Reactance @ 20°C,,NOT FOUND
Stator Leakage Reactance @ 20°C UOM,,NOT FOUND
Stator Reactance @ 20°C UOM,,NOT FOUND
Stator Resistance (AC) @ 20°C UOM,,NOT FOUND
Tag Description,Approved.Pump Motor Datasheet for Recycled water pump (10kg/cm2g),FOUND
Tag Requisition Number,Refer,FOUND
Temperature Ambient UOM,°C,FOUND
Temperature Rise UOM,,NOT FOUND
Thermocouples Required Per Winding,,NOT FOUND
Transportation Weight UOM,kg,FOUND
Type of Painting,,NOT FOUND
Rotor Resistance (Ac) @ 20°C,0.0000018 / 0.00000182,FOUND
